,nativeSpeaker,age,shoeSize,score
141,no,7,28.10059067,33.8196152
142,no,8,28.57744024,37.49113193
143,no,6,25.87362524,28.98584703
144,yes,7,26.02503071,39.51529502
145,no,9,28.83553164,42.16610789
146,no,5,24.89648236,26.04382221
147,yes,10,29.57463816,51.75170732
148,no,5,25.24042022,25.4556619
149,no,10,28.76079044,46.25259975
150,yes,5,25.47310054,31.96609827
151,no,7,27.29133361,33.4447269
152,yes,8,28.64972833,44.34194905
153,yes,6,26.060854,36.33049283
154,yes,9,29.55261803,47.55452814
155,yes,11,28.60676057,55.78114451
156,yes,11,29.95927872,56.42076923
157,yes,10,30.58048978,51.60906018
158,no,6,25.91397825,31.08625754
159,no,5,24.31723882,26.63200413
160,yes,5,23.1734253,31.37968235
161,yes,6,26.03971181,35.90457115
162,yes,8,29.5738854,44.15862024
163,no,5,26.62596113,25.74593177
164,yes,9,30.10595334,48.42306392
165,no,6,27.38400508,30.86356462
166,no,9,29.94920443,42.19380743
167,no,5,24.36614046,26.18972339
168,yes,9,28.33482106,48.71202865
169,no,5,27.99265446,26.20550984
170,no,9,28.50648912,41.95691995
171,no,8,28.2175024,37.06672325
172,yes,8,27.08854422,43.40705102
173,yes,6,25.73542106,35.88432541
174,no,10,30.57636005,45.73742627
175,no,10,31.23409957,45.99881274
176,yes,6,25.6678344,35.82591827
177,yes,6,26.64629209,35.68600846
178,no,9,29.99332237,41.97386052
179,yes,7,28.11587728,40.38127486
180,yes,7,26.92279364,40.20001623
181,no,7,25.5012631,33.93863064
182,no,11,31.50517138,50.78734989
183,yes,11,30.63692306,55.72113768
184,yes,5,24.97171688,32.01453022
185,yes,6,25.9743363,35.06706075
186,yes,6,24.56863131,36.13300469
187,yes,11,31.33975748,56.32936289
188,yes,8,27.52206909,44.53813113
189,no,9,30.42827224,43.34602018
190,yes,9,28.74405792,47.80739029
191,no,6,25.99717049,30.10670886
192,yes,10,29.25594618,51.42192171
193,no,11,30.73489637,50.05921976
194,no,7,25.71319334,34.18644392
195,yes,10,29.48947636,50.39915599
196,no,8,26.44755955,37.54887194
197,yes,5,23.98369581,32.1701691
198,yes,7,27.94532065,40.38110089
199,no,7,26.89888325,33.63668516
200,no,8,26.70671877,38.68542522
